player_id,name,player_club,age,position,market_value,nationality,player_height,player_agent,strong_foot,contract_value_time
537367,Alfonso Pastor,Levante,24.0,Goalkeeper,200.0,Spain,1.9,,right,2026.0
268946,José Antonio Caro,Cádiz CF,31.0,Goalkeeper,800.0,Spain,1.84,,left,2026.0
162027,David Gil,Cádiz CF,31.0,Goalkeeper,700.0,Spain,1.86,,right,2027.0
199325,Ander Cantero,Burgos CF,30.0,Goalkeeper,1000.0,Spain,1.92,,left,2027.0
88397,Tomeu Nadal,Burgos CF,36.0,Goalkeeper,200.0,Spain,1.88,,right,2025.0
175383,Helton Leite,Dep. La Coruña,34.0,Goalkeeper,900.0,Brazil,1.96,,right,2026.0
126746,Germán Parreño,Dep. La Coruña,32.0,Goalkeeper,300.0,Spain,1.91,José Vicente Simeón,right,2026.0
606848,Jonmi Magunagoitia,SD Eibar,24.0,Goalkeeper,600.0,Spain,1.83,,right,2026.0
524937,Álex Domínguez,SD Eibar,26.0,Goalkeeper,300.0,Spain,1.87,Wasserman,left,2025.0
298613,Juan Pérez,SD Huesca,28.0,Goalkeeper,600.0,Spain,1.91,,right,2026.0
126509,Dani Jiménez,SD Huesca,35.0,Goalkeeper,300.0,Spain,1.79,,right,2027.0
631049,Gonzalo Crettaz,Castellón,25.0,Goalkeeper,800.0,Argentina,1.84,Players First,right,2025.0
218431,Amir Abedzadeh,Castellón,32.0,Goalkeeper,400.0,Iran,1.86,,right,2025.0
102146,Edgar Badia,CD Tenerife,33.0,Goalkeeper,700.0,Spain,1.8,Wasserman,right,2025.0
635929,Salvi Carrasco,CD Tenerife,24.0,Goalkeeper,500.0,Spain,1.92,,"
                            Jul 1, 2024                        ",2026.0
623525,Luis López,CD Mirandés,24.0,Goalkeeper,300.0,Spain,1.97,,left,2025.0
54217,Raúl Fernández,CD Mirandés,37.0,Goalkeeper,200.0,Spain,1.95,,right,2025.0
335221,Dani Martín,Eldense,26.0,Goalkeeper,600.0,Spain,1.87,,right,2025.0
710474,Álvaro Aceves,Eldense,21.0,Goalkeeper,400.0,Spain,1.9,ROOF,right,2025.0
88917,Ian Mackay,Eldense,38.0,Goalkeeper,100.0,Spain,1.81,,right,2025.0
167228,Raúl Lizoain,Albacete,34.0,Goalkeeper,300.0,Spain,1.88,,left,2026.0
398131,Cristian Rivero,Albacete,27.0,Goalkeeper,200.0,Spain,1.88,,right,2025.0
129478,Alfonso Herrero,Málaga CF,31.0,Goalkeeper,400.0,Spain,1.83,CAA Stellar,right,2028.0
1004298,Carlos López,Málaga CF,20.0,Goalkeeper,100.0,Spain,1.84,,right,2029.0
251877,Carlos Marín,Córdoba CF,28.0,Goalkeeper,600.0,Spain,1.87,,right,2028.0
624905,Ramón Vila,Córdoba CF,23.0,Goalkeeper,200.0,Spain,1.91,,right,2027.0
617059,Pablo Cuñat,FC Cartagena,23.0,Goalkeeper,1000.0,Spain,1.88,InterStarDeporte,left,2025.0
623526,Toni Fuidias,FC Cartagena,24.0,Goalkeeper,300.0,Spain,1.95,,right,2025.0
408288,Jesús Ruiz,Racing Ferrol,28.0,Goalkeeper,500.0,Spain,1.82,LIAN Sports Group,right,2025.0
480966,Emilio Bernad,Racing Ferrol,25.0,Goalkeeper,300.0,Spain,1.84,,left,2025.0
58115,Yoel Rodríguez,Racing Ferrol,36.0,Goalkeeper,100.0,Spain,1.84,YOU FIRST,right,2025.0
