player_id,name,player_club,age,position,goalkeeper_or_not,market_value,nationality,player_height,player_agent,strong_foot,contract_value_time,appearances,PPG,goals,assists,own_goals,substitutions_on,substitutions_off,yellow_cards,second_yellow_cards,red_cards,penalty_goals,minutes_per_goal,minutes_played,goals_conceded,clean_sheet,crawl_timestamp,source
586853,Vitinha,Genoa,25.0,Centre-Forward,0,10000.0,Portugal,1.78,None,right,2028.0,27.0,1.11,2.0,3.0,0,9.0,15.0,3.0,0,0,0,742.0,1.484,0.0,0.0,1748225053586,https://www.transfermarkt.com/vitinha/profil/spieler/586853
411255,Jordan Thorniley,Oxford United,28.0,Centre-Back,0,275.0,England,1.81,None,left,-,4.0,1.25,0.0,0,0,2.0,0.0,0.0,0,0,0,0.0,260.0,0.0,0.0,1748225056246,https://www.transfermarkt.com/jordan-thorniley/profil/spieler/411255
315779,Christian Pulisic,AC Milan,26.0,Right Winger,0,50000.0,United States,1.77,None,right,2027.0,50.0,1.74,17.0,12.0,0,7.0,28.0,4.0,0,0,4.0,215.0,3.65,0.0,0.0,1748225058115,https://www.transfermarkt.com/christian-pulisic/profil/spieler/315779
897422,Max Meyer,J. Regensburg,18.0,Left Winger,0,100.0,Germany,1.75,We'RR,right,2025.0,16.0,0.63,4.0,1.0,0,6.0,5.0,3.0,0,0,0,245.0,978.0,0.0,0.0,1748225060737,https://www.transfermarkt.com/max-meyer/profil/spieler/897422
924117,Finn Jeltsch,VfB Stuttgart,18.0,Centre-Back,0,12000.0,Germany,1.88,Match2gether,right,2030.0,34.0,1.41,1.0,0,0,4.0,5.0,6.0,0,0,0,2.679,2.679,0.0,0.0,1748225062727,https://www.transfermarkt.com/finn-jeltsch/profil/spieler/924117
666547,Zito Luvumbo,Cagliari,23.0,Centre-Forward,0,5500.0,Angola,1.71,None,left,2028.0,28.0,1.07,2.0,2.0,0,8.0,15.0,2.0,0,0,0,855.0,1.71,0.0,0.0,1748225065025,https://www.transfermarkt.com/zito-luvumbo/profil/spieler/666547
533321,Stefano Girelli,Salernitana,24.0,Central Midfield,0,350.0,Italy,1.8,None,right,2025.0,4.0,1.0,0.0,0,0,3.0,1.0,1.0,0,0,0,0.0,89.0,0.0,0.0,1748225076912,https://www.transfermarkt.com/stefano-girelli/profil/spieler/533321
395512,Antoine Bernede,Hellas Verona,26.0,Central Midfield,0,3500.0,France,1.78,Unique Sports Group,right,2025.0,32.0,1.28,3.0,1.0,0,11.0,17.0,6.0,0,0,0,580.0,1.739,0.0,0.0,1748225078362,https://www.transfermarkt.com/antoine-bernede/profil/spieler/395512
242631,Alex Iwobi,Fulham,29.0,Attacking Midfield,0,25000.0,Nigeria,1.83,None,right,2028.0,44.0,1.5,9.0,6.0,0,6.0,24.0,1.0,0,0,0,366.0,3.293,0.0,0.0,1748225080997,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631
159471,Serge Gnabry,Bayern Munich,29.0,Left Winger,0,25000.0,Germany,1.76,ROOF,right,2026.0,42.0,2.19,7.0,8.0,0,22.0,13.0,2.0,0,0,0,281.0,1.968,0.0,0.0,1748225082972,https://www.transfermarkt.com/serge-gnabry/profil/spieler/159471
401173,Jadon Sancho,Chelsea,25.0,Left Winger,0,30000.0,England,1.8,None,right,2025.0,41.0,1.9,4.0,10.0,0,15.0,17.0,2.0,0,0,0,599.0,2.397,0.0,0.0,1748225132478,https://www.transfermarkt.com/jadon-sancho/profil/spieler/401173
